cat_traveller_id,cat_traveller,traveller_cat,country_res_id,country_res_name,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
6,Short-term (less than one year) Visitors arriving,Visitors arriving,4205,Israel,10,Original,M,Monthly,2023-05,560,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,4216,United Arab Emirates,10,Original,M,Monthly,2023-05,2250,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6105,Taiwan,10,Original,M,Monthly,2023-05,7830,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8104,United States of America,10,Original,M,Monthly,2023-05,42380,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,8203,Brazil,10,Original,M,Monthly,2023-05,1670,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,5205,Singapore,10,Original,M,Monthly,2023-05,39330,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,3204,Croatia,10,Original,M,Monthly,2023-05,970,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,5203,Malaysia,10,Original,M,Monthly,2023-05,15580,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,6203,"Korea, South",10,Original,M,Monthly,2023-05,10110,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6201,Japan,10,Original,M,Monthly,2023-05,18550,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,4215,Turkiye,10,Original,M,Monthly,2023-05,3880,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,8104,United States of America,10,Original,M,Monthly,2023-05,57290,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2303,France,10,Original,M,Monthly,2023-05,6820,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,5104,Thailand,10,Original,M,Monthly,2023-05,9140,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,7103,India,10,Original,M,Monthly,2023-05,41230,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,7105,Nepal,10,Original,M,Monthly,2023-05,4970,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1301,New Caledonia,10,Original,M,Monthly,2023-05,1080,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1302,Papua New Guinea,10,Original,M,Monthly,2023-05,7180,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2303,France,10,Original,M,Monthly,2023-05,9130,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,7105,Nepal,10,Original,M,Monthly,2023-05,3000,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1301,New Caledonia,10,Original,M,Monthly,2023-05,3870,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3104,Italy,10,Original,M,Monthly,2023-05,3880,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3308,Russian Federation,10,Original,M,Monthly,2023-05,620,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8205,Colombia,10,Original,M,Monthly,2023-05,3200,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2304,Germany,10,Original,M,Monthly,2023-05,6160,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2407,Sweden,10,Original,M,Monthly,2023-05,750,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,5104,Thailand,10,Original,M,Monthly,2023-05,41600,NUM,Number,sc
